instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
15150594,59182,NIFTY26FEBFUT,"NIFTY",0,2026-02-24,0,0.1,65,FUT,NFO-FUT,NFO
13238786,51714,NIFTY26MARFUT,"NIFTY",0,2026-03-30,0,0.1,65,FUT,NFO-FUT,NFO
17072898,66691,NIFTY26APRFUT,"NIFTY",0,2026-04-28,0,0.1,65,FUT,NFO-FUT,NFO
15148802,59175,BANKNIFTY26FEBFUT,"BANKNIFTY",0,2026-02-24,0,0.2,30,FUT,NFO-FUT,NFO
13235458,51701,BANKNIFTY26MARFUT,"BANKNIFTY",0,2026-03-30,0,0.2,30,FUT,NFO-FUT,NFO
17072130,66688,BANKNIFTY26APRFUT,"BANKNIFTY",0,2026-04-28,0,0.2,30,FUT,NFO-FUT,NFO
15152130,59188,360ONE26FEBFUT,"360ONE",0,2026-02-24,0,0.1,500,FUT,NFO-FUT,NFO
13240834,51722,360ONE26MARFUT,"360ONE",0,2026-03-30,0,0.1,500,FUT,NFO-FUT,NFO
17073410,66693,360ONE26APRFUT,"360ONE",0,2026-04-28,0,0.1,500,FUT,NFO-FUT,NFO
15152386,59189,ABB26FEBFUT,"ABB",0,2026-02-24,0,0.5,125,FUT,NFO-FUT,NFO
13241090,51723,ABB26MARFUT,"ABB",0,2026-03-30,0,0.5,125,FUT,NFO-FUT,NFO
17073666,66694,ABB26APRFUT,"ABB",0,2026-04-28,0,0.5,125,FUT,NFO-FUT,NFO
15152642,59190,ABCAPITAL26FEBFUT,"ABCAPITAL",0,2026-02-24,0,0.05,3100,FUT,NFO-FUT,NFO
13241346,51724,ABCAPITAL26MARFUT,"ABCAPITAL",0,2026-03-30,0,0.05,3100,FUT,NFO-FUT,NFO
17073922,66695,ABCAPITAL26APRFUT,"ABCAPITAL",0,2026-04-28,0,0.05,3100,FUT,NFO-FUT,NFO
15153410,59193,ADANIENSOL26FEBFUT,"ADANIENSOL",0,2026-02-24,0,0.05,675,FUT,NFO-FUT,NFO
13241602,51725,ADANIENSOL26MARFUT,"ADANIENSOL",0,2026-03-30,0,0.05,675,FUT,NFO-FUT,NFO
17074178,66696,ADANIENSOL26APRFUT,"ADANIENSOL",0,2026-04-28,0,0.05,675,FUT,NFO-FUT,NFO
15153666,59194,ADANIENT26FEBFUT,"ADANIENT",0,2026-02-24,0,0.1,309,FUT,NFO-FUT,NFO
13242370,51728,ADANIENT26MARFUT,"ADANIENT",0,2026-03-30,0,0.1,309,FUT,NFO-FUT,NFO
17075970,66703,ADANIENT26APRFUT,"ADANIENT",0,2026-04-28,0,0.1,309,FUT,NFO-FUT,NFO
15155458,59201,ADANIGREEN26FEBFUT,"ADANIGREEN",0,2026-02-24,0,0.05,600,FUT,NFO-FUT,NFO
13242626,51729,ADANIGREEN26MARFUT,"ADANIGREEN",0,2026-03-30,0,0.05,600,FUT,NFO-FUT,NFO
17076226,66704,ADANIGREEN26APRFUT,"ADANIGREEN",0,2026-04-28,0,0.05,600,FUT,NFO-FUT,NFO
15155714,59202,ADANIPORTS26FEBFUT,"ADANIPORTS",0,2026-02-24,0,0.1,475,FUT,NFO-FUT,NFO
13243906,51734,ADANIPORTS26MARFUT,"ADANIPORTS",0,2026-03-30,0,0.1,475,FUT,NFO-FUT,NFO
17076482,66705,ADANIPORTS26APRFUT,"ADANIPORTS",0,2026-04-28,0,0.1,475,FUT,NFO-FUT,NFO
15155970,59203,ALKEM26FEBFUT,"ALKEM",0,2026-02-24,0,0.5,125,FUT,NFO-FUT,NFO
13244162,51735,ALKEM26MARFUT,"ALKEM",0,2026-03-30,0,0.5,125,FUT,NFO-FUT,NFO
17076738,66706,ALKEM26APRFUT,"ALKEM",0,2026-04-28,0,0.5,125,FUT,NFO-FUT,NFO
15156226,59204,AMBER26FEBFUT,"AMBER",0,2026-02-24,0,0.5,100,FUT,NFO-FUT,NFO
13244418,51736,AMBER26MARFUT,"AMBER",0,2026-03-30,0,0.5,100,FUT,NFO-FUT,NFO
17076994,66707,AMBER26APRFUT,"AMBER",0,2026-04-28,0,0.5,100,FUT,NFO-FUT,NFO
15156482,59205,AMBUJACEM26FEBFUT,"AMBUJACEM",0,2026-02-24,0,0.05,1050,FUT,NFO-FUT,NFO
13244674,51737,AMBUJACEM26MARFUT,"AMBUJACEM",0,2026-03-30,0,0.05,1050,FUT,NFO-FUT,NFO
17077250,66708,AMBUJACEM26APRFUT,"AMBUJACEM",0,2026-04-28,0,0.05,1050,FUT,NFO-FUT,NFO
15156738,59206,ANGELONE26FEBFUT,"ANGELONE",0,2026-02-24,0,0.1,250,FUT,NFO-FUT,NFO
13247234,51747,ANGELONE26MARFUT,"ANGELONE",0,2026-03-30,0,0.1,250,FUT,NFO-FUT,NFO
17077506,66709,ANGELONE26APRFUT,"ANGELONE",0,2026-04-28,0,0.1,250,FUT,NFO-FUT,NFO
15156994,59207,APLAPOLLO26FEBFUT,"APLAPOLLO",0,2026-02-24,0,0.1,350,FUT,NFO-FUT,NFO
13247490,51748,APLAPOLLO26MARFUT,"APLAPOLLO",0,2026-03-30,0,0.1,350,FUT,NFO-FUT,NFO
17077762,66710,APLAPOLLO26APRFUT,"APLAPOLLO",0,2026-04-28,0,0.1,350,FUT,NFO-FUT,NFO
15157250,59208,APOLLOHOSP26FEBFUT,"APOLLOHOSP",0,2026-02-24,0,0.5,125,FUT,NFO-FUT,NFO
13249538,51756,APOLLOHOSP26MARFUT,"APOLLOHOSP",0,2026-03-30,0,0.5,125,FUT,NFO-FUT,NFO
17078018,66711,APOLLOHOSP26APRFUT,"APOLLOHOSP",0,2026-04-28,0,0.5,125,FUT,NFO-FUT,NFO
15157506,59209,ASHOKLEY26FEBFUT,"ASHOKLEY",0,2026-02-24,0,0.01,5000,FUT,NFO-FUT,NFO
13249794,51757,ASHOKLEY26MARFUT,"ASHOKLEY",0,2026-03-30,0,0.01,5000,FUT,NFO-FUT,NFO
17078274,66712,ASHOKLEY26APRFUT,"ASHOKLEY",0,2026-04-28,0,0.01,5000,FUT,NFO-FUT,NFO
15157762,59210,ASIANPAINT26FEBFUT,"ASIANPAINT",0,2026-02-24,0,0.1,250,FUT,NFO-FUT,NFO
13253890,51773,ASIANPAINT26MARFUT,"ASIANPAINT",0,2026-03-30,0,0.1,250,FUT,NFO-FUT,NFO
17078530,66713,ASIANPAINT26APRFUT,"ASIANPAINT",0,2026-04-28,0,0.1,250,FUT,NFO-FUT,NFO
15158018,59211,ASTRAL26FEBFUT,"ASTRAL",0,2026-02-24,0,0.1,425,FUT,NFO-FUT,NFO
13254146,51774,ASTRAL26MARFUT,"ASTRAL",0,2026-03-30,0,0.1,425,FUT,NFO-FUT,NFO
17078786,66714,ASTRAL26APRFUT,"ASTRAL",0,2026-04-28,0,0.1,425,FUT,NFO-FUT,NFO
15158530,59213,AUBANK26FEBFUT,"AUBANK",0,2026-02-24,0,0.05,1000,FUT,NFO-FUT,NFO
13259522,51795,AUBANK26MARFUT,"AUBANK",0,2026-03-30,0,0.05,1000,FUT,NFO-FUT,NFO
17079042,66715,AUBANK26APRFUT,"AUBANK",0,2026-04-28,0,0.05,1000,FUT,NFO-FUT,NFO
15158786,59214,AUROPHARMA26FEBFUT,"AUROPHARMA",0,2026-02-24,0,0.1,550,FUT,NFO-FUT,NFO
